Title,PublicationDate,Subjects,SourceURL,SourceDate
26,"Pragmatism and the problem of race / edited by Bill E. Lawson and 
Donald F. Koch.",c2004.,https://media.defense.gov/2025/Apr/04/2003683009/-1/-1/0/250404-LIST%20OF%20REMOVED%20BOOKS%20FROM%20NIMITZ%20LIBRARY.PDF,2025-04-04
27,"Defining difference : race and racism in the history of psychology / 
edited by Andrew S. Winston.",c2004.,https://media.defense.gov/2025/Apr/04/2003683009/-1/-1/0/250404-LIST%20OF%20REMOVED%20BOOKS%20FROM%20NIMITZ%20LIBRARY.PDF,2025-04-04
28,The psychoanalysis of race / edited by Christopher Lane.,c1998.,https://media.defense.gov/2025/Apr/04/2003683009/-1/-1/0/250404-LIST%20OF%20REMOVED%20BOOKS%20FROM%20NIMITZ%20LIBRARY.PDF,2025-04-04
29,"Desiring whiteness : a Lacanian analysis of race / Kalpana 
Seshadri-Crooks.",2000.,https://media.defense.gov/2025/Apr/04/2003683009/-1/-1/0/250404-LIST%20OF%20REMOVED%20BOOKS%20FROM%20NIMITZ%20LIBRARY.PDF,2025-04-04
30,"Measured lies : The bell curve examined / edited by Joe L. 
Kincheloe, Shirley R. Steinberg, and Aaron D. Gresson III.",1996.,https://media.defense.gov/2025/Apr/04/2003683009/-1/-1/0/250404-LIST%20OF%20REMOVED%20BOOKS%20FROM%20NIMITZ%20LIBRARY.PDF,2025-04-04
31,"Intelligence, race, and genetics : conversations with Arthur R. 
Jensen / Frank Miele.",2002.,https://media.defense.gov/2025/Apr/04/2003683009/-1/-1/0/250404-LIST%20OF%20REMOVED%20BOOKS%20FROM%20NIMITZ%20LIBRARY.PDF,2025-04-04
32,"The race bomb : skin color, prejudice, and intelligence / Paul R. 
Ehrlich and S. Shirley Feldman.",c1977.,https://media.defense.gov/2025/Apr/04/2003683009/-1/-1/0/250404-LIST%20OF%20REMOVED%20BOOKS%20FROM%20NIMITZ%20LIBRARY.PDF,2025-04-04
33,"IQ, heritability, and racism / by James M. Lawler.",1978.,https://media.defense.gov/2025/Apr/04/2003683009/-1/-1/0/250404-LIST%20OF%20REMOVED%20BOOKS%20FROM%20NIMITZ%20LIBRARY.PDF,2025-04-04
34,"Legacy of hate : a short history of ethnic, religious, and racial 
prejudice in America / Philip Perlmutter.",c1999.,https://media.defense.gov/2025/Apr/04/2003683009/-1/-1/0/250404-LIST%20OF%20REMOVED%20BOOKS%20FROM%20NIMITZ%20LIBRARY.PDF,2025-04-04
35,"Are we born racist? : new insights from neuroscience and positive 
psychology / edited by Jason Marsh, Rodolfo Mendoza-Denton, 
and Jeremy Adam Smith.",c2010.,https://media.defense.gov/2025/Apr/04/2003683009/-1/-1/0/250404-LIST%20OF%20REMOVED%20BOOKS%20FROM%20NIMITZ%20LIBRARY.PDF,2025-04-04
36,"The social psychology of interpersonal discrimination / edited by 
Bernice Lott, Diane Maluso ; foreword by Stuart Oskamp.",c1995.,https://media.defense.gov/2025/Apr/04/2003683009/-1/-1/0/250404-LIST%20OF%20REMOVED%20BOOKS%20FROM%20NIMITZ%20LIBRARY.PDF,2025-04-04
37,"Gender, sex, and sexuality : contemporary psychological 
perspectives / Gerda Siann.",1994.,https://media.defense.gov/2025/Apr/04/2003683009/-1/-1/0/250404-LIST%20OF%20REMOVED%20BOOKS%20FROM%20NIMITZ%20LIBRARY.PDF,2025-04-04
38,"Gender, nature, and nurture / Richard A. Lippa.",2002.,https://media.defense.gov/2025/Apr/04/2003683009/-1/-1/0/250404-LIST%20OF%20REMOVED%20BOOKS%20FROM%20NIMITZ%20LIBRARY.PDF,2025-04-04
39,"The two sexes : growing up apart, coming together / Eleanor E. 
Maccoby.",1998.,https://media.defense.gov/2025/Apr/04/2003683009/-1/-1/0/250404-LIST%20OF%20REMOVED%20BOOKS%20FROM%20NIMITZ%20LIBRARY.PDF,2025-04-04
40,"The psychology of gender / edited by Anne E. Beall, Robert J. 
Sternberg ; foreword by Ellen Berscheid.",c1993.,https://media.defense.gov/2025/Apr/04/2003683009/-1/-1/0/250404-LIST%20OF%20REMOVED%20BOOKS%20FROM%20NIMITZ%20LIBRARY.PDF,2025-04-04
41,"Psychology of gender identity / Janice W. Lee, editor.",c2005.,https://media.defense.gov/2025/Apr/04/2003683009/-1/-1/0/250404-LIST%20OF%20REMOVED%20BOOKS%20FROM%20NIMITZ%20LIBRARY.PDF,2025-04-04
42,"Toward a new psychology of gender : [a reader] / edited by Mary 
M. Gergen and Sara N. Davis.",1997.,https://media.defense.gov/2025/Apr/04/2003683009/-1/-1/0/250404-LIST%20OF%20REMOVED%20BOOKS%20FROM%20NIMITZ%20LIBRARY.PDF,2025-04-04
43,"Body panic : gender, health, and the selling of fitness / Shari L. 
Dworkin and Faye Linda Wachs.",c2009.,https://media.defense.gov/2025/Apr/04/2003683009/-1/-1/0/250404-LIST%20OF%20REMOVED%20BOOKS%20FROM%20NIMITZ%20LIBRARY.PDF,2025-04-04
44,"Deliver us from evil : resisting racial and gender oppression / James 
Newton Poling.",c1996.,https://media.defense.gov/2025/Apr/04/2003683009/-1/-1/0/250404-LIST%20OF%20REMOVED%20BOOKS%20FROM%20NIMITZ%20LIBRARY.PDF,2025-04-04
45,"The myth of equality : uncovering the roots of injustice and 
privilege / Ken Wytsma.",[2017],https://media.defense.gov/2025/Apr/04/2003683009/-1/-1/0/250404-LIST%20OF%20REMOVED%20BOOKS%20FROM%20NIMITZ%20LIBRARY.PDF,2025-04-04
46,"White too long : the legacy of white supremacy in American 
Christianity / Robert P. Jones.",2020.,https://media.defense.gov/2025/Apr/04/2003683009/-1/-1/0/250404-LIST%20OF%20REMOVED%20BOOKS%20FROM%20NIMITZ%20LIBRARY.PDF,2025-04-04
47,"White evangelical racism : the politics of morality in America / 
Anthea Butler.",[2021],https://media.defense.gov/2025/Apr/04/2003683009/-1/-1/0/250404-LIST%20OF%20REMOVED%20BOOKS%20FROM%20NIMITZ%20LIBRARY.PDF,2025-04-04
48,"Mansex fine : religion, manliness and imperialism in nineteenth-
century British culture / David Alderson.",1998.,https://media.defense.gov/2025/Apr/04/2003683009/-1/-1/0/250404-LIST%20OF%20REMOVED%20BOOKS%20FROM%20NIMITZ%20LIBRARY.PDF,2025-04-04
49,Racial justice and the Catholic Church / Bryan N. Massingale.,c2010.,https://media.defense.gov/2025/Apr/04/2003683009/-1/-1/0/250404-LIST%20OF%20REMOVED%20BOOKS%20FROM%20NIMITZ%20LIBRARY.PDF,2025-04-04
50,"Continuing perspectives on the Black Diaspora / edited with 
introductions by Aubrey W. Bonnett and Calvin B. Holder.",c2009.,https://media.defense.gov/2025/Apr/04/2003683009/-1/-1/0/250404-LIST%20OF%20REMOVED%20BOOKS%20FROM%20NIMITZ%20LIBRARY.PDF,2025-04-04
51,"Josiah Nott of Mobile : southerner, physician, and racial theorist / 
Reginald Horsman.",c1987.,https://media.defense.gov/2025/Apr/04/2003683009/-1/-1/0/250404-LIST%20OF%20REMOVED%20BOOKS%20FROM%20NIMITZ%20LIBRARY.PDF,2025-04-04
52,"In search of Catalina de Erauso : the national and sexual identity of 
the lieutenant nun / Eva Mendieta ; translated by Angeles Prado.",c2009.,https://media.defense.gov/2025/Apr/04/2003683009/-1/-1/0/250404-LIST%20OF%20REMOVED%20BOOKS%20FROM%20NIMITZ%20LIBRARY.PDF,2025-04-04
